coordinates,created_at,created_d,created_h,created_m,created_min,created_y,favorite_count,id,lang,retweet_count,source,text
,,17.0,23.0,1.0,32.0,2018.0,99329.0,953772162665590787,en,24804.0,Twitter for iPhone,"During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I… https://t.co/OQ1fA6odh7"
,,17.0,23.0,1.0,28.0,2018.0,92542.0,953771038114045954,en,24563.0,Twitter for iPhone,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United S… https://t.co/aWutB2fro3
,,17.0,23.0,1.0,19.0,2018.0,75123.0,953768657221451776,en,15574.0,Media Studio,"Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our f… https://t.co/svBhsLy1By"
,,17.0,13.0,1.0,4.0,2018.0,54521.0,953614071336701952,en,6767.0,Twitter for iPhone,Eric Trump on @foxandfriends  now!
,,16.0,23.0,1.0,20.0,2018.0,81942.0,953406553083777029,en,19213.0,Twitter for iPhone,"....we need to keep America safe, including moving away from a random chain migration and lottery system, to one th… https://t.co/wMQB8vJ3Cs"
,,16.0,23.0,1.0,19.0,2018.0,100375.0,953406423177859073,en,26016.0,Twitter for iPhone,New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-b… https://t.co/9F2yHphpOi
,,16.0,20.0,1.0,17.0,2018.0,56073.0,953360619834691585,en,10005.0,Twitter for iPhone,"Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax"
,,16.0,19.0,1.0,43.0,2018.0,74030.0,953352036309000194,en,19695.0,Twitter for iPhone,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp"
,,16.0,14.0,1.0,30.0,2018.0,114100.0,953273134655987716,en,28489.0,Twitter for iPhone,Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8
,,16.0,14.0,1.0,24.0,2018.0,73814.0,953271789790138368,en,16537.0,Twitter for iPhone,“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends
,,16.0,14.0,1.0,19.0,2018.0,111984.0,953270558573154305,en,26563.0,Twitter for iPhone,"Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but r… https://t.co/8kZJQ8SQZe"
,,16.0,14.0,1.0,7.0,2018.0,100647.0,953267506004754432,en,24049.0,Twitter for iPhone,The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be… https://t.co/Kv8aUAd3gD
,,16.0,13.0,1.0,54.0,2018.0,117800.0,953264081871495168,en,25169.0,Twitter for iPhone,"We must have Security at our VERY DANGEROUS SOUTHERN BORDER, and we must have a great WALL to help protect us, and… https://t.co/QH1uNnvCOq"
,,16.0,0.0,1.0,55.0,2018.0,0.0,953068179919638528,en,30513.0,Twitter for iPhone,RT @realDonaldTrump: Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no t…
,,16.0,0.0,1.0,53.0,2018.0,0.0,953067686313037829,en,27921.0,Twitter for iPhone,"RT @realDonaldTrump: DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately needed m…"
,,16.0,0.0,1.0,53.0,2018.0,0.0,953067606612828161,en,39843.0,Twitter for iPhone,"RT @realDonaldTrump: I, as President, want people coming into our Country who are going to help us become strong and great again, people co…"
,,16.0,0.0,1.0,52.0,2018.0,0.0,953067477830946816,en,19293.0,Twitter for iPhone,RT @realDonaldTrump: ...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the poli…
,,16.0,0.0,1.0,52.0,2018.0,0.0,953067456255406081,en,25228.0,Twitter for iPhone,"RT @realDonaldTrump: “President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers…"
,,16.0,0.0,1.0,50.0,2018.0,0.0,953066854079135744,en,13882.0,Twitter for iPhone,"RT @EricTrump: I will be always be incredibly proud of my work for @StJude, raising $16.3+ million dollars over the last 10 years at a 9.2%…"
,,16.0,0.0,1.0,48.0,2018.0,0.0,953066286434652165,und,8884.0,Twitter for iPhone,RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/b81NtQGhHa
,,16.0,0.0,1.0,47.0,2018.0,0.0,953066265987420160,en,2648.0,Twitter for iPhone,"RT @Heritage: We had a special visitor yesterday. @IvankaTrump, thank you for meeting with @KayColesJames, spending time with our team, and…"
,,15.0,20.0,1.0,28.0,2018.0,118254.0,953000902331453442,en,30513.0,Twitter for iPhone,Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is n… https://t.co/YaPbD8cjHe
,,15.0,16.0,1.0,1.0,2018.0,0.0,952933691642339329,en,21577.0,Twitter for iPhone,"RT @WhiteHouse: ""Dr. King's dream is our dream. It is the American Dream. It's the promise stitched into the fabric of our Nation, etched i…"
,,15.0,13.0,1.0,2.0,2018.0,113500.0,952888691944550401,en,23731.0,Twitter for iPhone,"...to stop drugs, they want to take money away from our military which we cannot do.” My standard is very simple, A… https://t.co/Q3BJnCHTLv"
,,15.0,12.0,1.0,57.0,2018.0,94724.0,952887520790040576,en,22284.0,Twitter for iPhone,"Statement by me last night in Florida: “Honestly, I don’t think the Democrats want to make a deal. They talk about… https://t.co/L3CS8EO9D9"
,,14.0,13.0,1.0,59.0,2018.0,88761.0,952540700683497472,en,19293.0,Twitter for iPhone,...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the p… https://t.co/wnLrQrTsWp
,,14.0,13.0,1.0,50.0,2018.0,112404.0,952538350333939713,en,25228.0,Twitter for iPhone,"“President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 work… https://t.co/0US33d7EuY"
,,14.0,13.0,1.0,19.0,2018.0,162051.0,952530515894169601,en,39843.0,Twitter for iPhone,"I, as President, want people coming into our Country who are going to help us become strong and great again, people… https://t.co/IkpH8hauTL"
,,14.0,13.0,1.0,9.0,2018.0,122522.0,952528011869478912,en,27921.0,Twitter for iPhone,"DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately neede… https://t.co/gZRLa3KopW"
,,14.0,13.0,1.0,4.0,2018.0,0.0,952526791658360833,en,34704.0,Twitter for iPhone,"RT @realDonaldTrump: So much Fake News is being reported. They don’t even try to get it right, or correct it when they are wrong. They prom…"
,,14.0,13.0,1.0,1.0,2018.0,83623.0,952526145064505345,en,16640.0,Twitter for iPhone,...and they knew exactly what I said and meant. They just wanted a story. FAKE NEWS!
,,14.0,12.0,1.0,58.0,2018.0,96336.0,952525384242876416,en,22624.0,Twitter for iPhone,The Wall Street Journal stated falsely that I said to them “I have a good relationship with Kim Jong Un” (of N. Kor… https://t.co/ZvyN9rhbFn
,,14.0,3.0,1.0,50.0,2018.0,0.0,952387373056380928,und,15846.0,Twitter for iPhone,RT @paulsperry_: https://t.co/aU1rdyKA1W
,,14.0,3.0,1.0,49.0,2018.0,0.0,952387277610774528,en,10409.0,Twitter for iPhone,"RT @paulsperry_: Fusion GPS, firm behind disputed Russia dossier, retracts its claim of FBI mole in Trump camp
https://t.co/s6CFPXSVqb"
,,14.0,3.0,1.0,45.0,2018.0,0.0,952386227705204736,en,23403.0,Twitter for iPhone,"RT @JackPosobiec: Dick Durbin called Trump racist for wanting to end chain migration. 

Here's a video of Dick Durbin calling for an end to…"
,,14.0,3.0,1.0,42.0,2018.0,0.0,952385311669178368,en,18302.0,Twitter for iPhone,RT @LouDobbs: The stock market has gained an incredible 7.8 Trillion dollars in market value since @POTUS was elected! Looks like 4% econom…
,,13.0,22.0,1.0,8.0,2018.0,148186.0,952301373479104512,en,34704.0,Twitter for iPhone,"So much Fake News is being reported. They don’t even try to get it right, or correct it when they are wrong. They p… https://t.co/O5Mqd6avqH"
,,13.0,14.0,1.0,20.0,2018.0,124703.0,952183458922672130,en,27289.0,Twitter for iPhone,I don’t believe the Democrats really want to see a deal on DACA. They are all talk and no action. This is the time… https://t.co/K5o4njHvXx
,,13.0,13.0,1.0,14.0,2018.0,152841.0,952166927476183040,en,37536.0,Twitter for iPhone,AMERICA FIRST!
,,13.0,13.0,1.0,14.0,2018.0,104395.0,952166857670320128,en,21867.0,Twitter for iPhone,The Democrats are all talk and no action. They are doing nothing to fix DACA. Great opportunity missed. Too bad!
,,13.0,13.0,1.0,13.0,2018.0,117865.0,952166643202916352,en,24541.0,Twitter for iPhone,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA,… https://t.co/0BKC8RejRA"
,,12.0,17.0,1.0,56.0,2018.0,109267.0,951875499537641472,en,26462.0,Twitter for iPhone,"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage… https://t.co/HMoyGfAZLJ"
,,12.0,13.0,1.0,48.0,2018.0,138718.0,951813216291708928,en,36445.0,Twitter for iPhone,"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Nev… https://t.co/HivKR2wF8g"
,,12.0,12.0,1.0,50.0,2018.0,124966.0,951798415301718017,en,32013.0,Twitter for iPhone,"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fa… https://t.co/jivCaE5vpb"
,,12.0,12.0,1.0,28.0,2018.0,103612.0,951793123985973248,en,24690.0,Twitter for iPhone,"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough wa… https://t.co/8PvNzf41G4"
,,12.0,12.0,1.0,20.0,2018.0,92145.0,951790999784783872,en,22958.0,Twitter for iPhone,"....Because of the Democrats not being interested in life and safety, DACA has now taken a big step backwards. The… https://t.co/YzEuBuYGrs"
,,12.0,12.0,1.0,9.0,2018.0,110168.0,951788342647107584,en,24387.0,Twitter for iPhone,....countries which are doing badly. I want a merit based system of immigration and people who will help take our c… https://t.co/QfbeeEN6qP
,,12.0,11.0,1.0,59.0,2018.0,83959.0,951785587765280768,en,21677.0,Twitter for iPhone,The so-called bipartisan DACA deal presented yesterday to myself and a group of Republican Senators and Congressmen… https://t.co/5s50JXBumv
,,12.0,4.0,1.0,57.0,2018.0,125085.0,951679619341737986,en,29864.0,Twitter for iPhone,Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the… https://t.co/9crSrOBXme
,,12.0,4.0,1.0,42.0,2018.0,122806.0,951675713089888256,en,29557.0,Twitter for iPhone,"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousa… https://t.co/D0kxlMJhLq"
,,12.0,3.0,1.0,1.0,2018.0,99190.0,951650274032209920,en,22959.0,Twitter for iPhone,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization… https://t.co/02erkjcPHU
,,12.0,2.0,1.0,53.0,2018.0,115597.0,951648197440569344,en,26016.0,Twitter for iPhone,"Chrysler is moving a massive plant from Mexico to Michigan, reversing a years long opposite trend. Thank you Chrysl… https://t.co/yxTLic66pf"
,,12.0,2.0,1.0,49.0,2018.0,73485.0,951647402599026689,en,19180.0,Twitter for iPhone,More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1… https://t.co/K7893jxDWC
,,12.0,2.0,1.0,47.0,2018.0,68307.0,951646736233189377,en,13254.0,Twitter for iPhone,Small Business Poll has highest approval numbers in the polls history. All business is just at the beginning of something really special!
,,12.0,2.0,1.0,43.0,2018.0,76201.0,951645893513613312,en,15564.0,Twitter for iPhone,"Thank you Adam Levine, The Federalist, in interview on @foxandfriends  “Donald Trump is the greatest President our Country has ever seen.”"
,,11.0,23.0,1.0,27.0,2018.0,59349.0,951596346011680768,en,13771.0,Media Studio,"Yesterday, I signed the #INTERDICTAct (H.R. 2142) with bipartisan members of Congress to help end the flow of drugs… https://t.co/7gjyeEu1HY"
,,11.0,15.0,1.0,37.0,2018.0,62624.0,951478281303416832,en,15166.0,Twitter Web Client,"Great news, as a result of our TAX CUTS &amp; JOBS ACT! https://t.co/SLvhLxP3Jl"
,,11.0,14.0,1.0,14.0,2018.0,60632.0,951457382651056128,en,12396.0,Twitter for iPhone,"With that being said, I have personally directed the fix to the unmasking process since taking office and today’s v… https://t.co/yvJkaKTGEr"
,,11.0,13.0,1.0,11.0,2018.0,84562.0,951441504203104256,en,16194.0,Twitter for iPhone,“45 year low in illegal immigration this year.” @foxandfriends
,,11.0,12.0,1.0,33.0,2018.0,72452.0,951431836030459905,en,17216.0,Twitter for iPhone,"“House votes on controversial FISA ACT today.” This is the act that may have been used, with the help of the discre… https://t.co/PMLpbrd3pp"
,,11.0,11.0,1.0,43.0,2018.0,96814.0,951419415794511872,en,21273.0,Twitter for iPhone,"In new Quinnipiac Poll, 66% of people feel the economy is “Excellent or Good.” That is the highest number ever recorded by this poll."
